,tweet,class,processed_tweet
283,"""@Yankees: Down 6-1, #Yankees look to rally in the bottom of the 9th."" #RALLYCAP",2,down 6 1 yankee look to rally in the bottom of the 9th rallycap
284,"""@YoungRicooo: &#8220;@WexicanAfro702: Don't take advantage of a nice person&#8221;@ hoes""@ everyjuan",1,do not take advantage of a nice everyjuan
285,"""@YoungRicooo: Happy birthday bitch nigga @WexicanAfro702"" Thanks pal",1,happy birthday bitch nigga thank pal
286,"""@YoungRicooo: Sad knowing that most hoes won't fuck with you bc you ain't got stacks."" wait till friday",1,sad know that most hoe will not fuck with you bc you be not get stack wait till friday
287,"""@YunGMiGo: @Shane_A1 cinco shit harder fucc nigga""yee but you fucc wit rich homie cuz dats ya homeboy fucc nicca",1,cinco shit hard fucc but you fucc wit rich homie cuz dat ya homeboy fucc nicca
288,"""@ZoeBarton3: @h0rheyd ewww I said THAT last Sunday..as in the last Sunday I was there. Read it again nigs""&#128563;&#128563;&#128563;&#128563;&#128563;",1,ewww i say that last sunday as in the last sunday i be there read it again
289,"""@_BaDa_Bing: I only punch real niggas in the face cause a pussy Nigga is gonna punch me right back"" Strong Mush or Shake..",1,i only punch real niggas in the face cause a pussy nigga be go to punch i right back strong mush or shake
290,"""@_BeeDontCare My pussy still fresh"" &lt;----- something stank girls say.",1,my pussy still fresh something stank girl say
291,"""@_GeeWillikers_: Ass slapping is one the greatest things. Haha. &#128527;"" I slapped a girl on the ass. . She got mad I aint get pussy for a week",1,ass slapping be one the great thing haha 128527 i slap a girl on the ass she get mad i be not get pussy for a week
292,"""@_TommyCollins: @WeAreRichnow @buffalobills yeah Texans are so much better you fucking retard"" I see that you're mad about this.",1,yeah texans be so much well you fucking retard i see that you be mad about this
293,"""@__MALIBUbarbie: Nd wtf is up with dark bitches with blonde.. PLEASE HAVE SEVERAL SEATS HOE!"" ..looking like black&amp;milds out here",1,nd wtf be up with dark bitch with blonde please have several seats hoe look like out here
294,"""@__Sugga: There's a lane some bitches need to stay in &#128526;"" the left n get right the fuck outta our face &#128557;&#128129;&#128536;",1,there be a lane some bitch need to stay in 128526 the left n get right the fuck outta our face
295,"""@__sneakyb: I hate when boys deny that they have bitches &#128080;&#128553;"" smh",1,i hate when boy deny that they have bitch smh
296,"""@__taradise__: Ya nigs out there still saying y'all don't eat butt?!"" WITH A STRAIGHT FACE!",1,ya nig out there still say you all do not eat butt with a straight face
297,"""@__youreWelcome: Im a boss ass bitch"" ...that needs to sit in a corner",1,i m a boss ass bitch that need to sit in a corner
298,"""@_iwantfranny: He's a hoe , I can't""",1,he be a hoe i can not
299,"""@_prettyflvck0: Me And Paul Thinkin Bout Gettin Rentals For Da Weekend &#128665;&#128168;&#128168;""oooh shit bitches betta stay out da streets",1,i and paul thinkin bout gettin rentals for da weekend shit bitch betta stay out da street
300,"""@_rapdreams: bitches hold they nigga down when he get locked up... but if a nigga go to college or the military it's a different story. &#128564;""",1,bitch hold they nigga down when he get lock up but if a nigga go to college or the military it be a different story 128564
301,"""@_simplycaitlin: why do my friends hate me"" because you a ratchet hoe..",1,why do my friend hate i because you a ratchet hoe
302,"""@adriwadrri: No love for these fuck niggas"" hoes*",1,no love for these fuck niggas hoe
303,"""@airmaxlad1: Hot meat http://t.co/BRz8Imk5vK"" sexy as fuck scally lad. I would love to meet him and his trainers.",1,hot meat sexy as fuck scally lad i would love to meet he and his trainer
304,"""@airmaxlad1: Sniff http://t.co/FHHbBRMYBN"" perved up scally lad. fuck yeah.",1,sniff perve up scally lad fuck yeah
305,"""@alejandra_p13: These bitches love Sosa""",1,these bitch love sosa
306,"""@alexissixela__: &#8220;@white_thunduh: I legit watched it for about 30 or 40 seconds &#128529;&#8221;SO DID I WTF"" prob cause were retarded smh",1,i legit watch it for about 30 or 40 second do i wtf prob cause be retard smh
307,"""@allisonnamaya_: What should I name my cat, ideas?"" Mr pussy",1,what should i name my cat idea mr pussy
308,"""@altosteel115: http://t.co/tM28mh5XG2"" woof woof. Sexy thug boy scally.",1,woof woof sexy thug boy scally
309,"""@ambitiousBree: @_1nonlykeisha u see the damn phone ringing? &#128547;&#128530;&#128542;"" when you married bitches makes demands!!!! You haven't called me",1,u see the damn phone ringing when you marry bitch make demand you have not call i
310,"""@analicialouise: Tevin is my favorite sophomore I think he's so funny"" Hes really not. Lmaoo hes a little hoe",1,tevin be my favorite sophomore i think he be so funny he s really not lmaoo he s a little hoe
311,"""@angelenagoley: 10 sex positions http://t.co/nt3PABMWsm http://t.co/JmHZ8Sczf0""naw this what u call fucking the soul outta bitch &#128557;",1,10 sex position this what u call fucking the soul outta bitch 128557
312,"""@ashlingwilde: @ItsNotAdam is bored supposed to be cute, you faggot?"" Sometimes",0,be bored suppose to be cute you faggot sometimes
313,"""@ayyee_ceee_: One mans trash &#128686; is another mans treasure &#127942;""",2,one man trash 128686 be another man treasure 127942
314,"""@babineaux_: I don't got no type. Bad bitches is the only thing I like"" *Iongotnotype",1,i do not get no type bad bitch be the only thing i like iongotnotype
315,"""@bigbootybishopp: @white_thunduh lassen cc , the coach wants me"" i feel it youll get more my nig no doubt",0,lassen cc the coach want i i feel it you ll get more my nig no doubt
316,"""@bleedingtrap: god teeth , gold chain
white bitches , cocaine""",1,god tooth gold chain white bitch cocaine
317,"""@cheetahBluntz_: Its me hoe, its me hoe&#128129;"" shhhhh",1,its me hoe its i shhhhh
318,"""@chieflottahoes: In D.C., we call them rollers, in Chiraq we call them thots."" All across America they have been known as a hoe.",1,in we call they roller in chiraq we call they thot all across america they have be know as a hoe
319,"""@clayton_jenn99: I'm gonna miss that bitch of a bus driver...""no you won't. Don't lie",1,i be go to miss that bitch of a bus driver you will not do not lie
320,"""@coltforty2Gone: hate when bitches try and put you in the friendzone. bitch I'm tryin to score put me in the endzone &#128293;&#128293;&#128293;"" ON. MY. SOUL!",1,hate when bitch try and put you in the friendzone bitch i be tryin to score put i in the endzone on my soul
321,"""@complex_uk: Ashley Young has tried to deny that bird s*** landed in his mouth ---&gt; http://t.co/mlr5eWgonK https://t.co/AvCHFj7reM"" hahaha",2,ashley young have try to deny that bird s land in his mouth hahaha
322,"""@datFullerkid: @TreVaughnLG yall both gimped up??"" Ain't tht a bitch huh lol",1,you all both gimp up ai not tht a bitch huh lol
323,"""@deepthroatMike: ""@Boys_South: Take me for a ride &#128525;&#128139; http://t.co/H5mAtjYfGA""#redneck"" woof woof",2,take i for a ride woof woof
324,"""@demi_eggleton: oh my god I love Victoria Mitchell"" all my bitches love me",1,oh my god i love victoria mitchell all my bitch love i
325,"""@djsliime: That long distance shit wack I knew the bitch was cheating""- uh oh",1,that long distance shit wack i know the bitch be uh oh
326,"""@fIirting: HE'S DOING IT RIGHT &#128525;&#128120;&#128158; http://t.co/JZKkiVUVjC"" no bitches smh",1,he be do it right no bitch smh
327,"""@fatboyswagg347: they BAN dat pussy for life &amp; he gotta pay 2.5 millon dollar fine""",1,they ban dat pussy for life amp he get to pay millon dollar fine
328,"""@fuckcamoclark: Roses are red and violets are blue and niggers are black, you know that's true."" @dylan72892",1,rose be red and violet be blue and nigger be black you know that be true
329,"""@g0rillaz0e: Sitting on my window sill, window open, bird tries to fly in. Smacked it. #ProtectTheAnimals"" @peta",2,sit on my window sill window open bird try to fly in smacked it protecttheanimal
330,"""@glowstruck: But a nigga gon be a nigga, be a nigga."" You sound fuckin retarded",1,but a nigga gon be a nigga be a nigga you sound fuckin retard
331,"""@greggutfeld: a video an entire media will likely mock. http://t.co/XFr1cRXWSm"" i am such a crybaby",2,a video an entire medium will likely mock i be such a crybaby
332,"""@gurl_Im_Angie: @ItsKiaraaaa @WestYourMajesty I'm not even shy stfu"" kikis mom: Hi angelique 
Angelique: Smiles *Dips cracker in soup*",1,i be not even shy stfu kikis mom hi angelique angelique smiles dips cracker in soup
333,"""@haitian__goLd: Tim Tebow got cut from every team he was on in the NFL and he already got more hoes than me in Starkville. Smh."" &#128514;&#128514;&#128514;&#128514;",1,tim tebow got cut from every team he be on in the nfl and he already get more hoe than i in starkville smh
334,"""@hazelebaby: Karma is a bitch #Damn #GodProtectsHisAngels &#128588;""

*sips tea*",1,karma be a bitch damn godprotectshisangel 128588 sip tea
335,"""@hornyjhb: Fuckin hot gym pussy http://t.co/ZVYmcXQuTA"" fuck yeah",1,fuckin hot gym pussy fuck yeah
336,"""@hxhassan: Jihadi patron Hajjaj al-Ajmi is arrested at Kuwait airport https://t.co/ZmloKfWDQl""",2,jihadi patron hajjaj al ajmi be arrest at kuwait airport
337,"""@iAMPickUpLines: You can call me Fireman cause I turn the hoes on.""",1,you can call i fireman cause i turn the hoe on
338,"""@iCrawley: I could never have a bby by a lil dick Thts y I got a abortion by the last bitch""- oh My God",1,i could never have a bby by a lil dick thts y i get a abortion by the last oh my god
339,"""@iDntWearCondoms: Watch women try to argue with me like they have a dick and actually fucked some pussy before"" I hate when bitches do that",1,watch woman try to argue with i like they have a dick and actually fuck some pussy before i hate when bitch do that
340,"""@iLGDaily: And smoke weed in public, fuck cops man, do what you wanna do, they don't own you, run if they come"" are you retarded?",1,and smoke weed in public fuck cop man do what you wanna do they do not own you run if they come be you retarded
341,"""@iTrapWatermelon: tweety bird tho &#128514;&#128514;&#128514;&#128514;https://t.co/JbnoNM3N1P""",2,tweety bird tho jbnonm3n1p
342,"""@irlfatty: my pussy sweet like watermelon http://t.co/SKlPh3TtoG""

Thotermelon",1,my pussy sweet like watermelon thotermelon
343,"""@itscoleharmon_: When twitter rappers dm me their trash links http://t.co/35nMR4AUQg""",2,when twitter rapper dm i their trash link
344,"""@jSadass: loud bitches annoy me""",1,loud bitch annoy i
345,"""@jacaxeltlu: Eventually every bitch turns into that hoe."" # Truuu",1,eventually every bitch turn into that hoe truuu
346,"""@jaimescudi_: ""@Tonybthrz_: ""@jaimescudi_: I swear if oomf try talking to me tomorrow.."" @"" @BarackObama"" pussy",1,i swear if oomf try talk to i tomorrow pussy
347,"""@jama_jam: You bitches be pretending to be TF crazy.."" You ain't never lied...",1,you bitch be pretend to be tf crazy you be not never lie
348,"""@jasmyncyniquee: @white_thunduh k bye hoe"" um bye ..",1,k bye hoe um bye
349,"""@jayswaggkillah: Jackies a retard #blondeproblems"" At least I can make a grilled cheese!",0,jackies a retard blondeproblem at least i can make a grill cheese
350,"""@jboii2: ima keep on giving these pussy ass niggas ah reason to hate !""",1,i m a keep on give these pussy ass niggas ah reason to hate
351,"""@jethromass: Photo: http://t.co/CxRs5BVhPw"" he is in sole heaven",2,photo he be in sole heaven
352,"""@jgabsss: Stacey Dash won &#128166; http://t.co/PDLG46rjOL"" baddest bitch evaaaa",0,stacey dash win 128166 badd bitch evaaaa
353,"""@juicyyyjayyyy: Side bitch Sunday &#128514;&#128514;&#128514;"" &#128514;&#128514;&#128514;",1,side bitch sunday
354,"""@k_eazy26: Facts what baldheaded bitch made this shit. &#128074;&#128074;&#128555;&#128530; http://t.co/fDYojpT9Xg""

Lmao &#128553;&#128514;",1,fact what baldheade bitch make this shit lmao
355,"""@kayreneeee_: Fuck wit us and then we tweakin hoe"" shmurda!",1,fuck wit we and then we tweakin hoe shmurda
356,"""@kazooook: We actin like it's the 7th day @WesGodLaFlare http://t.co/s9gMtEvpaT""
&#128123;spook",2,we actin like it be the 7th day
357,"""@kikiSTFU: I'll break that lil bitch neck and won't even feel sorry about it"" Savage",1,i will break that lil bitch neck and will not even feel sorry about it savage
358,"""@leikant: This is so fucking hot!! #scally #sneakersex #sockfetish #sniff #trainersex http://t.co/TubivxbxcO"" love me some kinky scallies",1,this be so fucking hot scally sneakersex sockfetish sniff trainersex love i some kinky scallie
359,"""@likemicah: Y'all dumb ass niggas be so pressed to have hoes. Y'all weak as fuck as fuck"" ...weed over hoes, oreos too.",1,dumb ass niggas be so press to have hoe weak as fuck as fuck weed over hoe oreos too
360,"""@lildurk_: I can turn yo bitch into a eaterrrrrrrrr""",1,i can turn yo bitch into a eaterrrrrrrrr
361,"""@lildurk_: I don't trust dese hoes Nikki told 51st where I stay at all my fans screen shot ASAP"" we finna come to Chiraq and shoot sumn",1,i do not trust dese hoe nikki tell 51st where i stay at all my fan screen shot asap we finna come to chiraq and shoot sumn
362,"""@marackaf: &#8220;@white_thunduh: Aye yall ima tryout for the bowling team frfr&#8221; tryouts passed tho"" no theres two more retard",1,aye you all i m a tryout for the bowling team tryout pass tho no there s two more retard
363,"""@maybe6789: Now u got what u want bitch ! Enjoy it http://t.co/gLQzwtGMj9"" now this is a crazy party I would love to attend.",1,now u get what u want bitch enjoy it now this be a crazy party i would love to attend
364,"""@metroadlib: colored contacts in your eyes?
blinders on mine.
cause i can't see you at all."" Lmao",2,colored contact in your eye blinder on mine cause i can not see you at all lmao
365,"""@michelle_westt: Facts ""@POONsoaker: Only the dudes with hoes say they don't got hoes&#8221;"" @J_Austin12",1,fact only the dude with hoe say they do not get
366,"""@midyWIDEY_: I'm rea start smacking bitches period !"" Bluffin at its best",1,i be rea start smacking bitch period bluffin at its good
367,"""@molssyo: Lifes a bitch, and then you die 
Thats why we get high, cause you neva know when you're gonna go"" my sister is perfect (:",1,lifes a bitch and then you die that s why we get high cause you neva know when you be go to go my sister be perfect
368,"""@molssyo: One of us is on drugs, and its me but you're still wrong &#128514; @currieburry"" hahahahahahah im a bitch sometimes (:",1,one of we be on drug and its i but you be still wrong 128514 hahahahahahah i m a bitch sometimes
369,"""@morgandaylee: I'm feeling pretty fuckin ghetto"" Smh",1,i be feel pretty fuckin ghetto smh
370,"""@nohands_24: ""@20ToLife_: ""@nohands_24: ""@DejaaLeeann_: @B_Coleman2 swears I'm #1 man"" easily"" easily"" behind Austin"" nip?",2,swear i be 1 man easily easily behind austin nip
371,"""@obey_jrock__: This is a true ride or die bitch &#128175; http://t.co/bkwHX83fkW"" what the fuck hahahahah",1,this be a true ride or die bitch 128175 what the fuck hahahahah
372,"""@oldpicsarchive: H.G.Wells and Charlie Chaplin http://t.co/sTiDDHK3WT"" #History #Photography",2,and charlie chaplin history photography
373,"""@ortiz_jaylene: All I see is Bruno's bitch ass on my twitter now. wtf"" Bruno's all that she sees (Drake voice)",1,all i see be bruno bitch ass on my twitter now wtf bruno all that she see drake voice
374,"""@ozzie_garza: @white_thunduh I'm about to cool faggot chill"" tf is cool nigga",1,i be about to cool faggot chill tf be cool nigga
375,"""@ozzie_garza: @white_thunduh I'm so sure bitch"" frfr tf",1,i be so sure bitch frfr tf
376,"""@poppunksucks: Twitter is not a source of news broadcast you fucking retards"" it is when nbc, abc, cnn, Fox, etc are all keeping quiet.",1,twitter be not a source of news broadcast you fuck retard it be when nbc abc cnn fox etc be all keep quiet
377,"""@queendulaaa: Got a couple bitches saying they know me But I&#8217;ma let the money talk for me &#128526;&#128076;"" AND I'M LIKE... #WWYD",1,got a couple bitch say they know i but let the money talk for i and like wwyd
378,"""@realFORTES: Grudges are for weirdos""and bitches",1,grudge be for bitch
379,"""@rhythmixx_: I told Mariam to but cigarettes for her birthday""

You also called me trash rn",2,i tell mariam to but cigarette for her birthday you also call i trash rn
380,"""@riananewman: @22EdHam brownies tonight"" what kind?!?!",2,brownie tonight what kind
381,"""@roLLYuP23: No text back? I don't give a fuck, I'll text another bitch"" damn someone is hurt lol",1,no text back i do not give a fuck i will text another bitch damn someone be hurt lol
382,"""@ronald_iongi: Ummmmmm okay http://t.co/4BVLsci5K5"" you got hoes from left to right &#128514;&#128514; do yah thang!",1,ummmmmm okay you get hoe from leave to right do yah thang
383,"""@royalswagg_: using y=mx+b to find the slope of that ass""",1,use y to find the slope of that ass
384,"""@rugbysocklad: Fit lads! Nice gear! http://t.co/ThnXX1lC1M"" these scally lads n trainers would get it",2,fit lad nice gear m these scally lad n trainer would get it
385,"""@rugbysocklad: Hell yeah bro! http://t.co/9yIb45UD6c"" fuck yeah sexy scally lad in hot gear",1,hell yeah bro fuck yeah sexy scally lad in hot gear
386,"""@rugbysocklad: Helping out a mate!! http://t.co/eMNAdO1QOj"" I love scally play. Fuck yeah",1,help out a mate i love scally play fuck yeah
387,"""@rugbysocklad: Lads being Lads! http://t.co/f3UJcYJ4OF"" fuck yeah. I love scally lad action. Hot trainers too.",1,lad be lad fuck yeah i love scally lad action hot trainer too
388,"""@savage_twotone: Next year bitches is gonna be like you gotta promise you won't expose me &#128514;&#128514;&#128557;""",1,next year bitch be go to be like you get to promise you will not expose i
389,"""@scallynikelad: &#8220;@sleazytwinks: So hot!! RT @opcinjen: Lick it, bitch http://t.co/JLoUkqDcOM&#8221;"" fuck yeah. Eat that trainer u dirty fucker",1,so hot rt lick it bitch fuck yeah eat that trainer u dirty fucker
390,"""@sierrabernia: &#8220;@T2G_CincoKilby: Y'all think celebrity pussy different from the locals? &#128514;&#8221; yeah Meghan goods is""",1,think celebrity pussy different from the local yeah meghan good be
391,"""@sleepy_yongguk: ""I saw an ajumma walk out in the beginning saying, 'Wow, this is so trash that I can't even listen to it..'"" &#128514;"" lmaoo",2,i see an ajumma walk out in the beginning say wow this be so trash that i can not even listen to it 128514 lmaoo
392,"""@sniffsockslad: Need these sox http://t.co/xydb1RchXh"" fuck yeah. I love a kinky scally lad w/ rank sox and sneaks",1,need these sox fuck yeah i love a kinky scally lad rank sox and sneak
393,"""@snoleezey801: I don't ever expose females like that.. That's childish.."" bitch nigga shiiii.....",1,i do not ever expose female like that that be childish bitch nigga shiiii
394,"""@socass_: ""@00sexilexi00: @socass_ yasss""

*trys new things with bestfriend*""

*bitch who do you love*",1,yasss try new thing with bestfriend bitch who do you love
395,"""@socass_: Dude remember this wop video? @00sexilexi00 http://t.co/P3HEuBOQBu"" OMG WHERE DID YOU FIND THAT",2,dude remember this wop video omg where do you find that
396,"""@soxandjox: Thick raw fuck http://t.co/g8RvUHCeBN"" Damn his man pussy is getting a workout.",1,thick raw fuck damn his man pussy be get a workout
397,"""@soxdawg: RAWR!! RT @skinrubberboi: ""My"" sexy French scally. I love him! #frenchscally http://t.co/5idQ3R5Akz"" sexy scally woof woof",2,rawr rt my sexy french scally i love he frenchscally sexy scally woof woof
398,"""@splurgb_: Nothin in life is free.. Some of you bitches need to write that on ya panties""&#128557;&#128514;",1,nothin in life be free some of you bitch need to write that on ya
399,"""@stephencdo: @currieburry if one of you bitches want some of my burrito u can catch me at potosino"" huh? Haha",1,if one of you bitch want some of my burrito u can catch i at potosino huh haha
400,"""@talibanshawtyy: Niggas whole hoes out here cuz"" Couldn't had said it better..&#128588;",1,niggas whole hoe out here cuz could not have say it well
401,"""@theaveragerocks: Hardcore way to eat Mac and cheese
1. Boil water 
2. Snort cheese powder
3. Drink boiling water 
4. Fuck bitches""",1,hardcore way to eat mac and cheese 1 boil water 2 snort cheese powder 3 drink boiling water 4 fuck bitch
402,"""@thebravebird: #YoureNotMyType if my fade is perpetually fresher than yours."" That's a real ass bitch rite there",1,yourenotmytype if my fade be perpetually fresher than your that be a real ass bitch rite there
403,"""@thejudyann: annoying bitch that I love http://t.co/8oxlQvQBrC"" JUDYANN'S SO PRETTY!!!!!",1,annoying bitch that i love judyann so pretty
404,"""@thotmouths: http://t.co/aQKGOrAUxx""

Lmao bitch got on some huggies",1,lmao bitch get on some huggie
405,"""@trestiffer: Hi bitch 
No bitch
Bye bitch"" http://t.co/RbcRXMRtQP",1,hi bitch no bitch bye bitch
406,"""@trutherbot: does he look like a bitch?"" @el_capacitor",1,do he look like a bitch
407,"""@whoiscoreyking: Chase money &#128176; not &#128581; hoes &#128111; &#128175;&#128175;""&#58399;&#58399;&#58399;&#58399;",1,chase money 128176 not 128581 hoe 128111
408,"""@whooligan__: can't stand a ""I don't know what I want"" ass nigga &#128564;"" bitch*",1,can not stand a i do not know what i want ass nigga 128564 bitch
409,"""@wiganzlad: ""@MarkyCrumb: ""@gmail_shorts: I'm on my way http://t.co/MqcZuXlbtT"" love a #chav""hot"" sexy scally fucker.",1,i be on my way love a sexy scally fucker
410,"""@witmyRUDEass: These newly gay bitches don't kno how shit works""",1,these newly gay bitch do not kno how shit work
411,"""@witmyRUDEass: When a bitch don't want a real job they just become strippers lol"" lol.",1,when a bitch do not want a real job they just become stripper lol lol
412,"""@wodaeeex3: Awww Meat Meat In His Feelins""i ainn n my feelings bitch",1,awww meat meat in his ainn n my feeling bitch
413,"""@wodaeeex3: I Want Snake Bites , MY Industrial Piercin &amp; A Tattoo""Dem hoe accessories dea &#128064;&#128064;&#128056;&#9749;",1,i want snake bites my industrial piercin amp a hoe accessory dea
414,"""@worldtraveIs: Baby albino &#128034; http://t.co/2tYTQJ3fec"" @Meeeesh1395",2,baby albino 128034
415,"""@worldwarzee_: these hoes ain't loyal.""",1,these hoe be not loyal
416,"""@xoxoclauudia: YASSSSSS, ORDERED CHINESE &#128079;"" bitch you just ate tacos you fat fuck",1,yassssss order chinese 128079 bitch you just eat tacos you fat fuck
417,"""@z0mbiedance: I made that bitch lunch. @elizabethbatman"" Bitches love lunch.",1,i make that bitch lunch bitch love lunch
418,"""A NO BRAINER""
But as soon as this bitch gets rich in political power, her views will change!
POLITICAL WHORES! http://t.co/ekEPSjWcyU&#8221;",1,a no brainer but as soon as this bitch get rich in political power her view will change political whores
419,"""A pussy a day keeps the devil away"" -@DoperThanYola",1,a pussy a day keep the devil away
420,"""Ain't that about a bitch""... What does that mean?",1,ai not that about a bitch what do that mean
421,"""All these bitches want a baby, I don't want no children.""",1,all these bitch want a baby i do not want no child
422,"""And bitch you must be lost"" &#128514;&#128514;",1,and bitch you must be lose
423,"""Baby I like being on your left side"" no bitch you can't be there Cuz the street on that side and Twitter said I ain't real if you do",1,baby i like be on your left side no bitch you can not be there cuz the street on that side and twitter say i be not real if you do
424,"""Bae"" sounds like such a ghetto word. Use something else",2,bae sound like such a ghetto word use something else
425,"""Batter the wee cunt Jewis"" y cos he fucked my ex? Emma isnt battering the girls I've nailed?Ive moved on,stop being a pussy n do it urself.",1,batter the wee cunt jewis y cos he fuck my ex emma be not batter the girl i move on stop be a pussy n do it urself
426,"""Bleed out hoe!!!"" -Alexa",1,bleed out hoe
427,"""Boolin' in the bando wit a few bitches""",1,boolin in the bando wit a few bitch
428,"""Brownies for my brownie"" I love this movie. &#128517;",2,brownie for my brownie i love this movie 128517
429,"""But I need a bad bitch that's hotter than me"" might be the realist shit PartyNextDoor ever said. That's how I be feelin everyday",1,but i need a bad bitch that be hot than i might be the realist shit partynextdoor ever say that be how i be feelin everyday
430,"""By the way we do punch bitches.""",1,by the way we do punch bitch
431,"""Caesar is home"" RT @Naewoodster: &#8220;@MjaySkillz: https://t.co/mw5KAojKXB""theres so much this bitch looks like. Lets start with ape shit&#8221;&#128557;&#128557;""",1,caesar be home rt so much this bitch look like let start with ape
432,"""Chinese Maverick: We were communicating Comrade , u know giving the imperialist Yanks the Birdie"" https://t.co/38GZ1jerPS",2,chinese maverick we be communicate comrade u know give the imperialist yanks the birdie
433,"""Dad say hi to my snapchat"" 
Dad ""&#9996;&#65039;&#9996;&#65039; duces bitch"" &#128514;&#128514;&#128553;&#128553;",1,dad say hi to my snapchat dad duce bitch
434,"""Do you believe these hoes are not in fact loyal?"" ""I disagree with that, I do believe they are in fact the loyalest bunch,these hoes""",1,do you believe these hoe be not in fact loyal i disagree with that i do believe they be in fact the loyal bunch these hoe
435,"""Don't know no ugly bitches! Don't know no broke niggas!""--@Kevin_Gates",1,do not know no ugly bitch do not know no broke
436,"""Don't make me make you fall in live with a nigga like meee..."" The birds 1&amp;2 are my favorite songs by Weeknd",1,do not make i make you fall in live with a nigga like meee the bird be my favorite song by weeknd
437,"""Don't worry about the nigga you see, worry about the nigga you DON'T see... Dat's da nigga fuckin yo bitch.""",0,do not worry about the nigga you see worry about the nigga you see dat da nigga fuckin yo bitch
438,"""Don't you ever give my pussy away. You keep it tight, alright?""",1,do not you ever give my pussy away you keep it tight alright
439,"""Dropped a stack cause bitch I'm ON"".
-@1PoloBoy 
Song called ""Dope"".
Download the mixtape here: http://t.co/LaCZ1e6TG7",1,drop a stack cause bitch i be on song call dope download the mixtape here
440,"""Dumb bitches do dumb things""",1,dumb bitch do dumb thing
441,"""Eat the pussy like a real nigga hungry""",1,eat the pussy like a real nigga hungry
442,"""Eff it. Let's go after the cripple."" http://t.co/kSaMx1JPfV",1,eff it let us go after the cripple
443,"""Everything look better with a bitch next to it""",1,everything look well with a bitch next to it
444,"""Facto @ShaunaSayomi: Who cares if you a hoe when your ass looks like this? http://t.co/CJdT987aqf""",1,facto who care if you a hoe when your ass look like this
445,"""For every bad bitch there is a nigga tired of fucking her""",1,for every bad bitch there be a nigga tired of fuck she
446,"""Foreign chick, no lie.. Man that bitch Beautiful""",1,foreign chick no lie man that bitch beautiful
447,"""Fresh nigga so you kno I need a clean bitch... Who kno I'm working cuz I wanna see my team rich."" http://t.co/Cgx3HNAK9A",1,fresh nigga so you kno i need a clean bitch who kno i be work cuz i wanna see my team rich
448,"""Fuck 5/0 I make my own rules. Suck my dragon balls bitch call me goku""",1,fuck i make my own rule suck my dragon ball bitch call i goku
449,"""Generate ASCII boxes with NodeJS"" all I see is the ability to bring flappy-bird in node via ASCII tubes and bird ^_^ http://t.co/lRJWDFhv7T",2,generate ascii box with nodejs all i see be the ability to bring flappy bird in node via ascii tube and bird t
450,"""Get me that shit bitch you is fine bear""",1,get i that shit bitch you be fine bear
451,"""Get your ass back to Detroit ya fuckin' wigger!""",1,get your ass back to detroit ya fuckin wigger
452,"""Girls that I dated, its okay I ain't mad yo, unless you stabbed me in the heart, no love hoe""",1,girl that i date its okay i be not mad yo unless you stab i in the heart no love hoe
453,"""HOW DO YOU KNOW MY TWITTER PASSWORD"" bitch please",1,how do you know my twitter password bitch please
454,"""Have you seen my shows? Have you seen my hoes? If I wasn't hot would they be so thick?""",1,have you see my show have you see my hoe if i be not hot would they be so thick
455,"""He a bitch for hitting that hoe"" &#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;",1,he a bitch for hit that hoe
456,"""He married to a white woman... lucky sum-bitch"" - Uncle Ruckus",1,he marry to a white woman lucky sum bitch uncle ruckus
457,"""He wanna be my nigga, but I'm just trinna be his savings account &#128553;"" &#128514;&#128557;&#128514;&#128557; omg imma funny ass bitch man, but that's Real Shit &#128175;",1,he wanna be my nigga but i be just trinna be his saving account 128553 omg imma funny ass bitch man but that be real shit 128175
458,"""Her great grandmas a hoe,her grandmas a hoe,her moms and a hoe, and she's a hoe! It's a long line of hoes!"" -Grandpa Carl everyone",1,her great grandma a hoe her grandma a hoe her mom and a hoe and she be a hoe it be a long line of hoe carl everyone
459,"""Hey go look at that video of the man that found the kidnapped girls in Ohio........what a nigger"" - #shitmybosssays",0,hey go look at that video of the man that find the kidnap girl in ohio what a nigger shitmybosssay
460,"""Hey pussy you still there?""",1,hey pussy you still there
461,"""How about we draft all those gung-ho folks and send them to Afghanistan or other war zones so they can show their... http://t.co/sR1zceHx",2,how about we draft all those gung ho folk and send they to afghanistan or other war zone so they can show their
462,"""How hotter than is it?"" ""A bitch.""",1,how hot than be it a bitch
463,"""How u talking to hoes bout bro n em.. Why you talking to hoes bout bro n em""",1,how u talk to hoe bout bro n em why you talk to hoe bout bro n em
464,"""How you doing, crazy bitch?"" is hilarious!",1,how you do crazy bitch be hilarious
465,"""I KNOW my shoes dirty as fuck, whatever, bitch. You don't have to call!""

Like, negro... one of the first things they LOOK at is shoes, dog",1,i know my shoe dirty as fuck whatever bitch you do not have to call like negro one of the first thing they look at be shoe dog
466,"""I am a thrill billy..with a hillbilly heart."" -@billyraycyrus. HAHAHAHAHA Jesus Murphy!",2,i be a thrill billy with a hillbilly heart hahahahaha jesus murphy
467,"""I call him my bitch"" @MaKennaM_",1,i call he my bitch
468,"""I can't handle no liquor... But these bitches can't handle meeedd"" - Chief Sosa",1,i can not handle no liquor but these bitch can not handle meeedd chief sosa
